#Слова из книжки по подготовке к TELC B1
#separator:Semicolon
#html:true
#tags:telc
#notetype:German
#columns:Front;Back;Example;ExampleTranslation;Notes;Synonym
gefährlich;опасный;<i>Dieses Tier ist <b>gefährlich</b>.</i>;<i>Это животное <b>опасно</b>.</i>;;;
die Kreuzung;перекресток;<i>Wir müssen an der nächsten <b>Kreuzung</b> links abbiegen.</i>;<i>Нам нужно на следующем <b>перекрестке</b> повернуть налево.</i>;;;
eilig;спешный;<i>Ich habe es <b>eilig</b>.</i>;<i>Я <b>спешу</b>.</i>;;;
der Rand;край;<i>Stellen Sie die Kiste an den <b>Rand</b> des Tisches.</i>;<i>Поставьте коробку на <b>край</b> стола.</i>;;;
häufig;частый;<i>Wir gehen <b>häufig</b> ins Kino.</i>;<i>Мы <b>часто</b> ходим в кино.</i>;;;
breit;широкий;<i>Die Straße ist sehr <b>breit</b>.</i>;<i>Эта улица очень <b>широкая</b>.</i>;;;
verbieten;запрещать;<i>Das Gesetz <b>verbietet</b> das Rauchen in diesem Bereich.</i>;<i>Закон <b>запрещает</b> курение в этой зоне.</i>;;;
der Dreck;грязь, пыль;<i>Überall auf dem Boden ist <b>Dreck</b>.</i>;<i>На полу повсюду <b>грязь</b>.</i>;;;
befürchten;опасаться, бояться;<i>Wir <b>befürchten</b>, dass es morgen regnen wird.</i>;<i>Мы <b>опасаемся</b>, что завтра будет дождь.</i>;;;
beruhigen;успокаивать;<i>Sie versuchte, das weinende Kind zu <b>beruhigen</b>.</i>;<i>Она пыталась <b>успокоить</b> плачущего ребенка.</i>;;;
hoffentlich;надеюсь;<i><b>Hoffentlich</b> sehen wir uns bald wieder.</i>;<i><b>Надеюсь</b>, мы скоро снова увидимся.</i>;;;
anfangen;начинать;<i>Wir wollen mit dem Projekt <b>anfangen</b>.</i>;<i>Мы хотим <b>начать</b> проект.</i>;;;
mindestens;как минимум;<i>Du musst <b>mindestens</b> 18 sein, um ein Auto zu mieten.</i>;<i>Тебе должно быть <b>как минимум</b> 18, чтобы арендовать машину.</i>;;;
höchstens;не более;<i>Die Fahrt dauert <b>höchstens</b> 20 Minuten.</i>;<i>Поездка займет <b>не более</b> 20 минут.</i>;;;
ungefähr;примерно;<i>Es sind <b>ungefähr</b> 100 Leute auf der Party.</i>;<i>На вечеринке <b>примерно</b> 100 человек.</i>;;;
tauschen;поменять;<i>Wir können unsere Plätze <b>tauschen</b>.</i>;<i>Мы можем <b>поменяться</b> местами.</i>;;;
dafür;взамен;<i>Ich gebe dir mein Buch, und <b>dafür</b> gibst du mir dein Heft.</i>;<i>Я дам тебе мою книгу, а <b>взамен</b> ты дашь мне свою тетрадь.</i>;;;
begleiten;сопровождать;<i>Ich werde dich zum Bahnhof <b>begleiten</b>.</i>;<i>Я <b>сопровожу</b> тебя до вокзала.</i>;;;
der Anfänger;новичок;<i>Er ist ein <b>Anfänger</b> in diesem Spiel.</i>;<i>Он <b>новичок</b> в этой игре.</i>;;;
fortgeschritten;продвинутый;<i>Sie ist eine <b>fortgeschrittene</b> Schülerin.</i>;<i>Она <b>продвинутая</b> ученица.</i>;;;
ähnlich;подобный, схожий;<i>Diese beiden Modelle sind sehr <b>ähnlich</b>.</i>;<i>Эти две модели очень <b>схожи</b>.</i>;;;
bewegen;двигать;<i>Er kann seinen Arm nicht <b>bewegen</b>.</i>;<i>Он не может <b>двигать</b> своей рукой.</i>;;;
einladen;приглашать;<i>Sie hat mich zu ihrer Party <b>eingeladen</b>.</i>;<i>Она <b>пригласила</b> меня на свою вечеринку.</i>;;;
der Anlass;повод, событие;<i>Was war der <b>Anlass</b> für diese Feier?</i>;<i>Какой был <b>повод</b> для этого праздника?</i>;;;
beruflich;профессионально;<i>Sie ist <b>beruflich</b> viel unterwegs.</i>;<i>Она <b>профессионально</b> много путешествует.</i>;;;
nutzen;использовать;<i>Er <b>nutzt</b> sein Wissen für die Arbeit.</i>;<i>Он <b>использует</b> свои знания для работы.</i>;;;
einzukaufen;закупаться;<i>Wir müssen <b>einkaufen</b> gehen.</i>;<i>Нам нужно <b>сходить за покупками</b>.</i>;;;
eigen;собственный, личный;<i>Er hat ein <b>eigenes</b> Auto.</i>;<i>У него есть <b>собственная</b> машина.</i>;;;
verreisen;путешествовать;<i>Ich möchte in den Ferien <b>verreisen</b>.</i>;<i>Я хочу <b>путешествовать</b> во время каникул.</i>;;;
geeingnet;подходящий (suitable);<i>Diese Schuhe sind für das Wandern nicht <b>geeignet</b>.</i>;<i>Эти туфли не <b>подходят</b> для походов.</i>;;;
gehören;принадлежать, относиться;<i>Die Herde <b>gehört</b> dem Bauern.</i>;<i>Стадо <b>принадлежит</b> фермеру.</i>;;;
hauptsächlich;в основном;<i>Ich esse <b>hauptsächlich</b> Gemüse.</i>;<i>Я ем <b>в основном</b> овощи.</i>;;;
drinnen;внутри;<i>Bleiben wir <b>drinnen</b>, es regnet.</i>;<i>Давайте останемся <b>внутри</b>, идет дождь.</i>;;innerhalb;
draußen;снаружи, вне;<i>Die Kinder spielen <b>draußen</b>.</i>;<i>Дети играют <b>снаружи</b>.</i>;;;
sonst;в противном случае, еще;Wir sollten die Karten vorbestellen, <b>sonst</b> sind sie ausverkauft.<br />Sie bestellte ein Glas Wasser, <b>sonst</b> nichts.;Мы должны предварительно заказать билеты, <b>в противном случае</b> они будут распроданы.<br />Она заказала стакан воды, <b>больше</b> ничего.;используется в двух значениях: как "в противном случае" и как "еще, кроме";;
irgendwelche;какие-либо, любые;Das Paar nebenan hatte nie <b>irgendwelche</b> ehelichen Probleme.;У пары по соседству никогда не было <b>каких-либо</b> проблем в браке.;используется в вопросительных и отрицательных предложениях для обозначения неопределенности;;
der Ausflug;экскурсия;Das Hotel bietet <b>Ausflüge</b> zu Sehenswürdigkeiten an.;Отель предлагает <b>экскурсии</b> по достопримечательностям.;;;
die Nachricht;новость, объявление, сообщение;Der Anrufer hinterließ <b>eine Nachricht</b> für dich.;Звонивший оставил для тебя <b>сообщение</b>.;;;
hinterlassen;оставлять;Ich fand nicht heraus, wer mir diese Nachricht <b>hinterlassen</b> hatte.;Я не выяснил, кто мне <b>оставил</b> это сообщение.;;;
gleich;такой же, одинаковый;Ich habe zwei Hunde der <b>gleichen</b> Rasse.<br />Der nächste Kurs findet <b>gleich</b> im großen Raum statt.;У меня две собаки <b>одинаковой</b> породы.<br />Следующий курс состоится <b>прямо</b> в большом зале.;используется как прилагательное ("одинаковый") и как наречие ("сразу же");;
die Erfahrung;опыт;<i>Er hat viel <b>Erfahrung</b> in diesem Bereich.</i>;<i>У него большой <b>опыт</b> в этой области.</i>;;;
besonders;особенно;Ich mag den Winter <b>besonders</b> gern.;Я <b>особенно</b> люблю зиму.;;;
fehlen;недоставать;Dem Team <b>fehlt</b> Disziplin.;Команде <b>недостает</b> дисциплины.;;;
das Fehlen;недостаток (количественный);<b>Das Fehlen</b> von Gewürzen machte das Essen ziemlich fad.;<b>Недостаток</b> специй сделал еду довольно пресной.;;;
die Ernährung;питание;Eine gesunde <b>Ernährung</b> beugt gegen Krankheiten vor.;Здоровое <b>питание</b> предотвращает болезни.;;;
die Geduld;терпение;Die Malerei verlangt Zeit und <b>Geduld</b>.;Живопись требует времени и <b>терпения</b>.;;;
die Umweltverschmutzung;загрязнение окружающей среды;Die <b>Umweltverschmutzung</b> ist ein großes Problem.;<b>Загрязнение окружающей среды</b> является большой проблемой.;;;
beeinflussen;влиять;Das Wetter <b>beeinflusst</b> meine Laune.;Погода <b>влияет</b> на мое настроение.;;;
gerade;прямо, четный, как раз;Ich überhole nur auf einer <b>geraden</b> Strecke.<br /><b>Gerade</b> Zahlen lassen sich durch zwei teilen.<br />Das Telefon klingelte, als er <b>gerade</b> das Haus verließ.;Я обгоняю только на <b>прямом</b> участке.<br /><b>Четные</b> числа делятся на два.<br />Телефон зазвонил, когда он <b>как раз</b> выходил из дома.;;;
der (die Gründe);причина;Er hat keinen <b>Grund</b>, sich schuldig zu fühlen.;У него нет <b>причины</b> чувствовать себя виноватым.;;;
beschäftigen;заниматься, занимать;Unsere Firma <b>beschäftigt</b> Spezialisten aus aller Welt.;Наша фирма <b>занимает</b> специалистов со всего мира.;;;
die Ahnung;идея;Ich habe keine <b>Ahnung</b>, wo ich meine Schlüssel verloren habe.;Я не имею <b>представления</b>, где я потерял свои ключи.;;;
die Gegend;область, регион;Der Familie gehört eine Villa in einer reichen <b>Gegend</b>.;Семье принадлежит вилла в богатой <b>области</b>.;;;
übernachten;переночевать;Wir können heute bei mir <b>übernachten</b>.;Мы можем <b>переночевать</b> сегодня у меня.;;;
